#,Event,Date,Venue,City,State/Province,Country,Attendance,
1,UFC 1: The Beginning,11/12/1993,McNichols Sports Arena,Denver, Colorado, U.S.,7800,
2,UFC 2: No Way Out,3/11/1994,Mammoth Gardens,Denver, Colorado, U.S.,2000,
3,UFC 3: The American Dream,9/9/1994,Grady Cole Center,Charlotte, North Carolina, U.S.,N/A,
4,UFC 4: Revenge of the Warriors,12/16/1994,Expo Square Pavilion,Tulsa, Oklahoma, U.S.,5857,
5,UFC 5: The Return of the Beast,4/7/1995,Independence Arena,Charlotte, North Carolina, U.S.,6000,
6,UFC 6: Clash of the Titans,7/14/1995,Casper Events Center,Casper, Wyoming, U.S.,2700,
7,UFC 7: The Brawl in Buffalo,9/8/1995,Buffalo Memorial Auditorium,Buffalo, New York, U.S.,9000,
8,UFC: The Ultimate Ultimate,12/16/1995,Mammoth Gardens,Denver, Colorado, U.S.,2800,
9,UFC 8: David vs. Goliath,2/16/1996,Coliseo Rubén Rodríguez,Bayamón,N/A, Puerto Rico,13000,
10,UFC 9: Motor City Madness,5/17/1996,Cobo Arena,Detroit, Michigan, U.S.,10000,
11,UFC 10: The Tournament,7/12/1996,Fair Park Arena,Birmingham, Alabama, U.S.,4300,
12,UFC 11: The Proving Ground,9/20/1996,Augusta Civic Center,Augusta, Georgia, U.S.,4500,
13,UFC: The Ultimate Ultimate 2,12/7/1996,Fair Park Arena,Birmingham, Alabama, U.S.,6000,
14,UFC 12: Judgement Day,2/7/1997,Dothan Civic Center,Dothan, Alabama, U.S.,3100,
15,UFC 13: The Ultimate Force,5/30/1997,Augusta Civic Center,Augusta, Georgia, U.S.,5100,
16,UFC 14: Showdown,7/27/1997,Boutwell Memorial Auditorium,Birmingham, Alabama, U.S.,5000,
17,UFC 15: Collision Course,10/17/1997,Casino Magic Bay St. Louis,Bay St. Louis, Mississippi, U.S.,N/A,
18,UFC Japan: Ultimate Japan,12/21/1997,Yokohama Arena,Yokohama,N/A, Japan,5000,
19,UFC 16: Battle in the Bayou,3/13/1998,Pontchartrain Center,New Orleans, Louisiana, U.S.,4600,
20,UFC 17: Redemption,5/15/1998,Mobile Civic Center,Mobile, Alabama, U.S.,N/A,
21,UFC Brazil: Ultimate Brazil,10/16/1998,Ginásio da Portuguesa,São Paulo,N/A, Brazil,N/A,
22,UFC 18: The Road to the Heavyweight Title,1/8/1999,Pontchartrain Center,New Orleans, Louisiana, U.S.,N/A,
23,UFC 19: Ultimate Young Guns,3/5/1999,Casino Magic Bay St. Louis,Bay St. Louis, Mississippi, U.S.,N/A,
24,UFC 20: Battle for the Gold,5/7/1999,Boutwell Memorial Auditorium,Birmingham, Alabama, U.S.,N/A,
25,UFC 21: Return of the Champions,7/16/1999,Five Seasons Events Center,Cedar Rapids, Iowa, U.S.,N/A,
26,UFC 22: Only One Can be Champion,9/24/1999,Lake Charles Civic Center,Lake Charles, Louisiana, U.S.,N/A,
27,UFC 23: Ultimate Japan 2,11/19/1999,Tokyo Bay NK Hall,Chiba,N/A, Japan,N/A,
28,UFC 24: First Defense,3/10/2000,Lake Charles Civic Center,Lake Charles, Louisiana, U.S.,N/A,
29,UFC 25: Ultimate Japan 3,4/14/2000,Yoyogi National Gymnasium,Tokyo,N/A, Japan,N/A,
30,UFC 26: Ultimate Field of Dreams,6/9/2000,Five Seasons Events Center,Cedar Rapids, Iowa, U.S.,1100,
31,UFC 27: Ultimate Bad Boyz,9/22/2000,Lakefront Arena,New Orleans, Louisiana, U.S.,N/A,
32,UFC 28: High Stakes,11/17/2000,Trump Taj Mahal,Atlantic City, New Jersey, U.S.,N/A,
33,UFC 29: Defense of the Belts,12/16/2000,Differ Ariake Arena,Tokyo,N/A, Japan,1414,
34,UFC 30: Battle on the Boardwalk,2/23/2001,Trump Taj Mahal,Atlantic City, New Jersey, U.S.,3000,
35,UFC 31: Locked and Loaded,5/4/2001,Trump Taj Mahal,Atlantic City, New Jersey, U.S.,N/A,
36,UFC 32: Showdown in the Meadowlands,6/29/2001,Continental Airlines Arena,East Rutherford, New Jersey, U.S.,12500,
37,UFC 33: Victory in Vegas,9/28/2001,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,9500,
38,UFC 34: High Voltage,11/2/2001,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,9000,
39,UFC 35: Throwdown,1/11/2002,Mohegan Sun Arena,Uncasville, Connecticut, U.S.,9600,
40,UFC 36: Worlds Collide,3/22/2002,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,10000,
41,UFC 37: High Impact,5/10/2002,CenturyTel Center,Bossier City, Louisiana, U.S.,7200,
42,UFC 37.5: As Real As It Gets,6/22/2002,Bellagio,Las Vegas, Nevada, U.S.,3700,
43,UFC 38: Brawl at the Hall,7/13/2002,Royal Albert Hall,London, England, U.K.,5000,
44,UFC 39: The Warriors Return,9/27/2002,Mohegan Sun Arena,Uncasville, Connecticut, U.S.,7800,
45,UFC 40: Vendetta,11/22/2002,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,13770,
46,UFC 41: Onslaught,2/28/2003,Boardwalk Hall,Atlantic City, New Jersey, U.S.,11707,
47,UFC 42: Sudden Impact,4/25/2003,AmericanAirlines Arena,Miami, Florida, U.S.,7500,
48,UFC 43: Meltdown,6/6/2003,Thomas & Mack Center,Las Vegas, Nevada, U.S.,9800,
49,UFC 44: Undisputed,9/26/2003,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10400,
50,UFC 45: Revolution,11/21/2003,Mohegan Sun Arena,Uncasville, Connecticut, U.S.,9200,
51,UFC 46: Supernatural,1/31/2004,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10700,
52,UFC 47: It's On!,4/2/2004,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,11437,
53,UFC 48: Payback,6/19/2004,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10000,
54,UFC 49: Unfinished Business,8/21/2004,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12100,
55,UFC 50: The War of '04,10/22/2004,Boardwalk Hall,Atlantic City, New Jersey, U.S.,9000,
56,UFC 51: Super Saturday,2/5/2005,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,11072,
57,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,4/9/2005,Cox Pavilion,Las Vegas, Nevada, U.S.,N/A,
58,UFC 52: Couture vs. Liddell,4/16/2005,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14562,
59,UFC 53: Heavy Hitters,6/4/2005,Boardwalk Hall,Atlantic City, New Jersey, U.S.,12000,
60,UFC Fight Night,8/6/2005,Cox Pavilion,Las Vegas, Nevada, U.S.,N/A,
61,UFC 54: Boiling Point,8/20/2005,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,13520,
62,UFC Fight Night 2,10/3/2005,Hard Rock Hotel and Casino,Las Vegas, Nevada, U.S.,N/A,
63,UFC 55: Fury,10/7/2005,Mohegan Sun Arena,Uncasville, Connecticut, U.S.,8000,
64,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,11/5/2005,Hard Rock Hotel and Casino,Las Vegas, Nevada, U.S.,N/A,
65,UFC 56: Full Force,11/19/2005,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,12000,
66,UFC Fight Night 3,1/16/2006,Hard Rock Hotel and Casino,Las Vegas, Nevada, U.S.,1008,
67,UFC 57: Liddell vs. Couture 3,2/4/2006,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10659,
68,UFC 58: USA vs. Canada,3/4/2006,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,9569,
69,UFC Fight Night 4,4/6/2006,Hard Rock Hotel and Casino,Las Vegas, Nevada, U.S.,843 ,
70,UFC 59: Reality Check,4/15/2006,Arrowhead Pond of Anaheim,Anaheim, California, U.S.,13814,
71,UFC 60: Hughes vs. Gracie,5/27/2006,Staples Center,Los Angeles, California, U.S.,14765,
72,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,6/24/2006,Hard Rock Hotel and Casino,Las Vegas, Nevada, U.S.,849 ,
73,UFC Fight Night 5,6/28/2006,Hard Rock Hotel and Casino,Las Vegas, Nevada, U.S.,606 ,
74,UFC 61: Bitter Rivals,7/8/2006,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,11167,
75,UFC Fight Night 6,8/17/2006,Red Rock Resort Spa and Casino,Las Vegas, Nevada, U.S.,1412,
76,UFC 62: Liddell vs. Sobral,8/26/2006,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10503,
77,UFC 63: Hughes vs. Penn,9/23/2006,Arrowhead Pond of Anaheim,Anaheim, California, U.S.,12604,
78,UFC: Ortiz vs. Shamrock 3: The Final Chapter,10/10/2006,Seminole Hard Rock Hotel and Casino,Hollywood, Florida, U.S.,3510,
79,UFC 64: Unstoppable,10/14/2006,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10173,
80,The Ultimate Fighter: The Comeback Finale,11/11/2006,Hard Rock Hotel and Casino,Las Vegas, Nevada, U.S.,1000,
81,UFC 65: Bad Intentions,11/18/2006,ARCO Arena,Sacramento, California, U.S.,14666,
82,UFC Fight Night: Sanchez vs. Riggs,12/13/2006,Marine Corps Air Station Miramar,San Diego, California, U.S.,3000,
83,UFC 66: Liddell vs. Ortiz,12/30/2006,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,13671,
84,UFC Fight Night: Evans vs. Salmon,1/25/2007,Seminole Hard Rock Hotel and Casino,Hollywood, Florida, U.S.,5287,
85,UFC 67: All or Nothing,2/3/2007,Mandalay Bay Events Center,Las Vegas, Nevada, U.S.,10787,
86,UFC 68: The Uprising,3/3/2007,Nationwide Arena,Columbus, Ohio, U.S.,19079,
87,UFC Fight Night: Stevenson vs. Guillard,4/5/2007,Palms Casino Resort,Las Vegas, Nevada, U.S.,1734,
88,UFC 69: Shootout,4/7/2007,Toyota Center,Houston, Texas, U.S.,15269,
89,UFC 70: Nations Collide,4/21/2007,Manchester Evening News Arena,Manchester, England, U.K.,15114,
90,UFC 71: Liddell vs. Jackson,5/26/2007,MGM Grand Garden Arena,Las Vegas, Nevada, U.S.,14728,
91,UFC Fight Night: Stout vs. Fisher,6/12/2007,Seminole Hard Rock Hotel and Casino,Hollywood, Florida, U.S.,N/A,
92,UFC 72: Victory,6/16/2007,The Odyssey,Belfast, Northern Ireland, U.K.,7850,
