Event,Date,Venue,City,State/Province,Country,Attendance,EVENT #,PPV,Explanation,Month,Year,Extra Notes
UFC 1: The Beginning,11/12/1993,McNichols Sports Arena,Denver, Colorado, U.S.,7800,UFC 1,Not Available,Pre-PPV,November,1993,
UFC 2: No Way Out,3/11/1994,Mammoth Gardens,Denver, Colorado, U.S.,2000,UFC 2,Not Available,Pre-PPV,March,1994,
UFC 3: The American Dream,9/9/1994,Grady Cole Center,Charlotte, North Carolina, U.S.,N/A,UFC 3,Not Available,Pre-PPV,September,1994,
UFC 4: Revenge of the Warriors,12/16/1994,Expo Square Pavilion,Tulsa, Oklahoma, U.S.,5857,UFC 4,Not Available,Pre-PPV,December,1994,
UFC 5: The Return of the Beast,4/7/1995,Independence Arena,Charlotte, North Carolina, U.S.,6000,UFC 5,Not Available,Pre-PPV,April,1995,
UFC 6: Clash of the Titans,7/14/1995,Casper Events Center,Casper, Wyoming, U.S.,2700,UFC 6,Not Available,Pre-PPV,July,1995,
UFC 7: The Brawl in Buffalo,9/8/1995,Buffalo Memorial Auditorium,Buffalo, New York, U.S.,9000,UFC 7,Not Available,Pre-PPV,September,1995,
UFC 8: David vs. Goliath,2/16/1996,Coliseo Rubén Rodríguez,Bayamón,N/A, Puerto Rico,13000,UFC 8,Not Available,Pre-PPV,February,1996,
UFC 9: Motor City Madness,5/17/1996,Cobo Arena,Detroit, Michigan, U.S.,10000,UFC 9,Not Available,Pre-PPV,May,1996,
UFC 10: The Tournament,7/12/1996,Fair Park Arena,Birmingham, Alabama, U.S.,4300,UFC 10,Not Available,Pre-PPV,July,1996,
UFC 11: The Proving Ground,9/20/1996,Augusta Civic Center,Augusta, Georgia, U.S.,4500,UFC 11,Not Available,Pre-PPV,September,1996,
UFC 12: Judgement Day,2/7/1997,Dothan Civic Center,Dothan, Alabama, U.S.,3100,UFC 12,Not Available,Pre-PPV,February,1997,
UFC 13: The Ultimate Force,5/30/1997,Augusta Civic Center,Augusta, Georgia, U.S.,5100,UFC 13,Not Available,Pre-PPV,May,1997,
UFC 14: Showdown,7/27/1997,Boutwell Memorial Auditorium,Birmingham, Alabama, U.S.,5000,UFC 14,Not Available,Pre-PPV,July,1997,
UFC 15: Collision Course,10/17/1997,Casino Magic Bay St. Louis,Bay St. Louis, Mississippi, U.S.,N/A,UFC 15,Not Available,Pre-PPV,October,1997,
UFC 16: Battle in the Bayou,3/13/1998,Pontchartrain Center,New Orleans, Louisiana, U.S.,4600,UFC 16,Not Available,Pre-PPV,March,1998,
UFC 17: Redemption,5/15/1998,Mobile Civic Center,Mobile, Alabama, U.S.,N/A,UFC 17,Not Available,Pre-PPV,May,1998,
UFC 18: The Road to the Heavyweight Title,1/8/1999,Pontchartrain Center,New Orleans, Louisiana, U.S.,N/A,UFC 18,Not Available,Pre-PPV,January,1999,
UFC 19: Ultimate Young Guns,3/5/1999,Casino Magic Bay St. Louis,Bay St. Louis, Mississippi, U.S.,N/A,UFC 19,Not Available,Pre-PPV,March,1999,
UFC 20: Battle for the Gold,5/7/1999,Boutwell Memorial Auditorium,Birmingham, Alabama, U.S.,N/A,UFC 20,Not Available,Pre-PPV,May,1999,
UFC 21: Return of the Champions,7/16/1999,Five Seasons Events Center,Cedar Rapids, Iowa, U.S.,N/A,UFC 21,Not Available,Pre-PPV,July,1999,
UFC 22: Only One Can be Champion,9/24/1999,Lake Charles Civic Center,Lake Charles, Louisiana, U.S.,N/A,UFC 22,Not Available,Pre-PPV,September,1999,
UFC 23: Ultimate Japan 2,11/19/1999,Tokyo Bay NK Hall,Chiba,N/A, Japan,N/A,UFC 23,Not Available,Pre-PPV,November,1999,
UFC 24: First Defense,3/10/2000,Lake Charles Civic Center,Lake Charles, Louisiana, U.S.,N/A,UFC 24,Not Available,Pre-PPV,March,2000,
UFC 25: Ultimate Japan 3,4/14/2000,Yoyogi National Gymnasium,Tokyo,N/A, Japan,N/A,UFC 25,Not Available,Pre-PPV,April,2000,
UFC 26: Ultimate Field of Dreams,6/9/2000,Five Seasons Events Center,Cedar Rapids, Iowa, U.S.,1100,UFC 26,Not Available,Pre-PPV,June,2000,
UFC 27: Ultimate Bad Boyz,9/22/2000,Lakefront Arena,New Orleans, Louisiana, U.S.,N/A,UFC 27,Not Available,Pre-PPV,September,2000,
UFC 28: High Stakes,11/17/2000,Trump Taj Mahal,Atlantic City, New Jersey, U.S.,N/A,UFC 28,Not Available,Pre-PPV,November,2000,
UFC 29: Defense of the Belts,12/16/2000,Differ Ariake Arena,Tokyo,N/A, Japan,1414,UFC 29,Not Available,Pre-PPV,December,2000,
UFC 30: Battle on the Boardwalk,2/23/2001,Trump Taj Mahal,Atlantic City, New Jersey, U.S.,3000,UFC 30,Not Available,Pre-PPV,February,2001,
UFC 31: Locked and Loaded,5/4/2001,Trump Taj Mahal,Atlantic City, New Jersey, U.S.,N/A,UFC 31,Not Available,Pre-PPV,May,2001,
